,Equipe,Emissions carbone (kgCO2)
0,Auxerre,418096.96182179137
1,Brest,550834.4992822211
2,Le Havre,474748.13043150684
3,Lens,498023.2884333432
4,Lille,475421.3496333431
5,Lyon,448165.05242165044
6,Marseille,509078.4221210234
7,Monaco,536168.5879697924
8,Montpellier,490630.3654228249
9,Nantes,476808.1224503754
10,Nice,515113.10356979223
11,Paris Saint-Germain,434015.9765490299
12,Reims,479804.1696085819
13,Rennes,468883.3054831049
14,Strasbourg,543473.2031160272
15,Saint-Ã‰tienne,434908.37878193404
16,Toulouse,498718.4378902742
17,Angers,452688.4420813536
