team,scenario,transport_type,alternative_selected,emissions_tonnes_co2_from_transport,emissions_tonnes_co2_from_empty_bus,emissions_tonnes_co2,travel_time_hours
Monaco,S-6h,avion,0,335.65892454566557,75.057348,410.71627254566556,105.87666666666667
Monaco,S-6h,bus,10,9.761736,0.0,9.761736,69.03777777777778
Monaco,S-6h',avion,0,335.65892454566557,0.0,335.65892454566557,105.87666666666667
Monaco,S-6h',bus,10,9.761736,0.0,9.761736,69.03777777777778
Monaco,S-NP,bus,16,22.651644,0.0,22.651644,157.85555555555555
Monaco,S-NP,train,18,30.210144188,62.16744,92.377584188,335.2611111111111
Monaco,S-NP',bus,16,22.651644,0.0,22.651644,157.85555555555555
Monaco,S-NP',train,18,30.210144188,0.0,30.210144188,335.2611111111111
Monaco,SA,avion,0,380.70034061336384,83.264802,463.9651426133638,124.61
Monaco,SA,bus,0,1.554282,0.0,1.554282,11.851111111111111
Monaco,SA',avion,0,380.70034061336384,0.0,380.70034061336384,124.61
Monaco,SA',bus,0,1.554282,0.0,1.554282,11.851111111111111
Lens,S-4h,avion,0,277.78442148793414,53.50351799999998,331.2879394879341,86.58444444444444
Lens,S-4h,bus,6,3.095796,0.0,3.095796,21.064444444444444
Lens,S-4h,train,6,2.8075095119999998,6.662663999999999,9.470173511999999,37.44555555555556
Lens,S-4h',avion,0,277.78442148793414,0.0,277.78442148793414,86.58444444444444
Lens,S-4h',bus,6,3.095796,0.0,3.095796,21.064444444444444
Lens,S-4h',train,6,2.8075095119999998,0.0,2.8075095119999998,37.44555555555556
Lens,S-6h,avion,0,142.2408272232859,29.251715999999984,171.49254322328588,41.943333333333335
Lens,S-6h,bus,6,3.095796,0.0,3.095796,21.064444444444444
Lens,S-6h,train,18,30.436049512,30.914465999999997,61.350515512,153.36666666666667
Lens,S-6h',avion,0,142.2408272232859,0.0,142.2408272232859,41.943333333333335
Lens,S-6h',bus,6,3.095796,0.0,3.095796,21.064444444444444
Lens,S-6h',train,18,30.436049512,0.0,30.436049512,153.36666666666667
Lens,S-NP,bus,6,3.095796,0.0,3.095796,21.064444444444444
Lens,S-NP,train,28,44.171872168,60.16618199999999,104.33805416799999,312.53333333333336
Lens,S-NP',bus,6,3.095796,0.0,3.095796,21.064444444444444
Lens,S-NP',train,28,44.171872168,0.0,44.171872168,312.53333333333336
Lens,SA,avion,0,311.34651344906274,58.917281999999986,370.26379544906274,99.19888888888889
Lens,SA,bus,0,4.344696,0.0,4.344696,30.625555555555554
Lens,SA',avion,0,311.34651344906274,0.0,311.34651344906274,99.19888888888889
Lens,SA',bus,0,4.344696,0.0,4.344696,30.625555555555554
Paris Saint-Germain,S-4h,avion,0,98.41090079520082,19.082849999999997,117.49375079520081,32.05111111111111
Paris Saint-Germain,S-4h,bus,4,2.1661439999999996,0.0,2.1661439999999996,15.085555555555555
Paris Saint-Germain,S-4h,train,22,3.1267659520000004,27.907404,31.034169952,112.86888888888889
Paris Saint-Germain,S-4h',avion,0,98.41090079520082,0.0,98.41090079520082,32.05111111111111
Paris Saint-Germain,S-4h',bus,4,2.1661439999999996,0.0,2.1661439999999996,15.085555555555555
Paris Saint-Germain,S-4h',train,22,3.1267659520000004,0.0,3.1267659520000004,112.86888888888889
Paris Saint-Germain,S-6h,avion,0,53.04585090371691,11.499282,64.5451329037169,17.255555555555556
Paris Saint-Germain,S-6h,bus,4,2.1661439999999996,0.0,2.1661439999999996,15.085555555555555
Paris Saint-Germain,S-6h,train,26,3.85814172,35.49097199999999,39.34911371999999,150.70666666666668
Paris Saint-Germain,S-6h',avion,0,53.04585090371691,0.0,53.04585090371691,17.255555555555556
Paris Saint-Germain,S-6h',bus,4,2.1661439999999996,0.0,2.1661439999999996,15.085555555555555
Paris Saint-Germain,S-6h',train,26,3.85814172,0.0,3.85814172,150.70666666666668
Paris Saint-Germain,S-NP,bus,4,2.1661439999999996,0.0,2.1661439999999996,15.085555555555555
Paris Saint-Germain,S-NP,train,30,5.079783672,46.990254,52.070037672,204.70444444444445
Paris Saint-Germain,S-NP',bus,4,2.1661439999999996,0.0,2.1661439999999996,15.085555555555555
Paris Saint-Germain,S-NP',train,30,5.079783672,0.0,5.079783672,204.70444444444445
Paris Saint-Germain,SA,"aller en bus
retour en avion",0,0.0,0.8698229999999999,0.8698229999999999,0.0
Paris Saint-Germain,SA,avion,0,201.60707636262126,36.435362999999995,238.04243936262125,70.06166666666667
Paris Saint-Germain,SA,bus,0,7.8535770000000005,0.0,7.8535770000000005,55.13166666666667
Paris Saint-Germain,SA,train,0,0.40173665199999997,3.997635,4.399371652,15.703333333333333
Paris Saint-Germain,SA',"aller en bus
retour en avion",0,0.0,0.0,0.0,0.0
Paris Saint-Germain,SA',avion,0,201.60707636262126,0.0,201.60707636262126,70.06166666666667
Paris Saint-Germain,SA',bus,0,7.8535770000000005,0.0,7.8535770000000005,55.13166666666667
Paris Saint-Germain,SA',train,0,0.40173665199999997,0.0,0.40173665199999997,15.703333333333333
Saint-Étienne,S-4h,avion,0,222.19149195889142,42.45414,264.64563195889144,64.02944444444445
Saint-Étienne,S-4h,bus,6,8.34474,0.0,8.34474,54.5
Saint-Étienne,S-4h,train,4,0.521208312,5.288616,5.809824312,25.964444444444446
Saint-Étienne,S-4h',avion,0,222.19149195889142,0.0,222.19149195889142,64.02944444444445
Saint-Étienne,S-4h',bus,6,8.34474,0.0,8.34474,54.5
Saint-Étienne,S-4h',train,4,0.521208312,0.0,0.521208312,25.964444444444446
Saint-Étienne,S-6h,avion,0,38.60999824423262,7.810997999999998,46.42099624423262,9.384444444444444
Saint-Étienne,S-6h,bus,16,23.329391999999995,0.0,23.329391999999995,146.98722222222221
Saint-Étienne,S-6h,train,14,4.464795144,24.947105999999998,29.411901143999998,129.67888888888888
Saint-Étienne,S-6h',avion,0,38.60999824423262,0.0,38.60999824423262,9.384444444444444
Saint-Étienne,S-6h',bus,16,23.329391999999995,0.0,23.329391999999995,146.98722222222221
Saint-Étienne,S-6h',train,14,4.464795144,0.0,4.464795144,129.67888888888888
Saint-Étienne,S-NP,bus,16,21.189203999999997,0.0,21.189203999999997,133.90222222222224
Saint-Étienne,S-NP,train,18,9.41646342,34.898292,44.31475542,187.72333333333333
Saint-Étienne,S-NP',bus,16,21.189203999999997,0.0,21.189203999999997,133.90222222222224
Saint-Étienne,S-NP',train,18,9.41646342,0.0,9.41646342,187.72333333333333
Saint-Étienne,SA,avion,0,252.2548829015649,47.193489,299.4483719015649,74.91555555555556
Saint-Étienne,SA,bus,0,7.2627749999999995,0.0,7.2627749999999995,47.404444444444444
Saint-Étienne,SA,train,0,0.158100188,1.631232,1.789332188,6.928333333333334
Saint-Étienne,SA',avion,0,252.2548829015649,0.0,252.2548829015649,74.91555555555556
Saint-Étienne,SA',bus,0,7.2627749999999995,0.0,7.2627749999999995,47.404444444444444
Saint-Étienne,SA',train,0,0.158100188,0.0,0.158100188,6.928333333333334
Nice,S-4h,avion,0,364.1608050070182,79.34664599999999,443.5074510070182,94.71777777777778
Nice,S-4h,bus,6,3.37614,0.0,3.37614,23.875555555555554
Nice,S-4h',avion,0,364.1608050070182,0.0,364.1608050070182,94.71777777777778
Nice,S-4h',bus,6,3.37614,0.0,3.37614,23.875555555555554
Nice,S-6h,avion,0,313.7130023310103,70.18362599999999,383.8966283310103,80.54777777777778
Nice,S-6h,bus,12,12.539159999999999,0.0,12.539159999999999,83.80666666666667
Nice,S-6h',avion,0,313.7130023310103,0.0,313.7130023310103,80.54777777777778
Nice,S-6h',bus,12,12.539159999999999,0.0,12.539159999999999,83.80666666666667
Nice,S-NP,bus,16,21.863124,0.0,21.863124,146.98111111111112
Nice,S-NP,train,18,28.262918828,60.85966200000001,89.12258082800001,332.8644444444444
Nice,S-NP',bus,16,21.863124,0.0,21.863124,146.98111111111112
Nice,S-NP',train,18,28.262918828,0.0,28.262918828,332.8644444444444
Nice,SA,avion,0,378.2917606133638,81.32121599999999,459.6129766133638,99.81
Nice,SA,bus,0,1.40157,0.0,1.40157,10.204444444444444
Nice,SA',avion,0,378.2917606133638,0.0,378.2917606133638,99.81
Nice,SA',bus,0,1.40157,0.0,1.40157,10.204444444444444
Rennes,S-4h,avion,0,264.61401868226636,53.57500800000002,318.1890266822664,70.52333333333333
Rennes,S-4h,bus,8,4.531638,0.0,4.531638,31.01
Rennes,S-4h,train,4,0.48931963199999995,5.048388000000001,5.537707632000001,23.17111111111111
Rennes,S-4h',avion,0,264.61401868226636,0.0,264.61401868226636,70.52333333333333
Rennes,S-4h',bus,8,4.531638,0.0,4.531638,31.01
Rennes,S-4h',train,4,0.48931963199999995,0.0,0.48931963199999995,23.17111111111111
Rennes,S-6h,avion,0,137.11764747575643,30.23085600000001,167.34850347575644,36.26555555555556
Rennes,S-6h,bus,10,7.4228819999999995,0.0,7.4228819999999995,49.446666666666665
Rennes,S-6h,train,14,21.508710076,25.501296,47.010006075999996,119.63666666666667
Rennes,S-6h',avion,0,137.11764747575643,0.0,137.11764747575643,36.26555555555556
Rennes,S-6h',bus,10,7.4228819999999995,0.0,7.4228819999999995,49.446666666666665
Rennes,S-6h',train,14,21.508710076,0.0,21.508710076,119.63666666666667
Rennes,S-NP,bus,12,11.656446,0.0,11.656446,75.05333333333333
Rennes,S-NP,train,22,27.630374515999996,51.498588,79.128962516,244.0377777777778
Rennes,S-NP',bus,12,11.656446,0.0,11.656446,75.05333333333333
Rennes,S-NP',train,22,27.630374515999996,0.0,27.630374515999996,244.0377777777778
Rennes,SA,avion,0,291.810345753094,57.57273600000001,349.383081753094,80.75166666666667
Rennes,SA,bus,0,5.582298,0.0,5.582298,37.80833333333333
Rennes,SA',avion,0,291.810345753094,0.0,291.810345753094,80.75166666666667
Rennes,SA',bus,0,5.582298,0.0,5.582298,37.80833333333333
Nantes,S-4h,avion,0,269.997767287744,51.13811099999999,321.135878287744,92.02277777777778
Nantes,S-4h,bus,8,9.220274999999999,0.0,9.220274999999999,58.995555555555555
Nantes,S-4h,train,2,0.23989172,2.2551659999999996,2.4950577199999997,10.41
Nantes,S-4h',avion,0,269.997767287744,0.0,269.997767287744,92.02277777777778
Nantes,S-4h',bus,8,9.220274999999999,0.0,9.220274999999999,58.995555555555555
Nantes,S-4h',train,2,0.23989172,0.0,0.23989172,10.41
Nantes,S-6h,avion,0,101.18720145415536,22.355055,123.54225645415536,32.71666666666667
Nantes,S-6h,bus,14,18.247208999999998,0.0,18.247208999999998,112.53277777777778
Nantes,S-6h,train,12,11.652375408000001,22.011288,33.663663408000005,109.1288888888889
Nantes,S-6h',avion,0,101.18720145415536,0.0,101.18720145415536,32.71666666666667
Nantes,S-6h',bus,14,18.247208999999998,0.0,18.247208999999998,112.53277777777778
Nantes,S-6h',train,12,11.652375408000001,0.0,11.652375408000001,109.1288888888889
Nantes,S-NP,bus,14,15.751667999999999,0.0,15.751667999999999,97.63888888888889
Nantes,S-NP,train,20,25.217744976000002,46.861883999999996,72.079628976,243.98777777777778
Nantes,S-NP',bus,14,15.751667999999999,0.0,15.751667999999999,97.63888888888889
Nantes,S-NP',train,20,25.217744976000002,0.0,25.217744976000002,243.98777777777778
Nantes,SA,avion,0,294.57544257561085,54.555611999999996,349.13105457561085,102.715
Nantes,SA,bus,0,8.05794,0.0,8.05794,51.25666666666667
Nantes,SA',avion,0,294.57544257561085,0.0,294.57544257561085,102.715
Nantes,SA',bus,0,8.05794,0.0,8.05794,51.25666666666667
Lyon,S-4h,avion,0,222.61962092727526,41.50333800000001,264.12295892727525,67.35333333333334
Lyon,S-4h,bus,4,2.336034,0.0,2.336034,15.833333333333334
Lyon,S-4h,train,8,1.4251143279999998,10.954367999999999,12.379482327999998,47.507777777777775
Lyon,S-4h',avion,0,222.61962092727526,0.0,222.61962092727526,67.35333333333334
Lyon,S-4h',bus,4,2.336034,0.0,2.336034,15.833333333333334
Lyon,S-4h',train,8,1.4251143279999998,0.0,1.4251143279999998,47.507777777777775
Lyon,S-6h,avion,0,28.44195303642295,5.91357,34.35552303642295,6.695555555555556
Lyon,S-6h,bus,8,8.207201999999999,0.0,8.207201999999999,54.25222222222222
Lyon,S-6h,train,24,4.914502172,40.672968,45.587470171999996,196.39888888888888
Lyon,S-6h',avion,0,28.44195303642295,0.0,28.44195303642295,6.695555555555556
Lyon,S-6h',bus,8,8.207201999999999,0.0,8.207201999999999,54.25222222222222
Lyon,S-6h',train,24,4.914502172,0.0,4.914502172,196.39888888888888
Lyon,S-NP,bus,8,8.207201999999999,0.0,8.207201999999999,54.25222222222222
Lyon,S-NP,train,26,7.310568139999999,46.586538,53.89710614,226.57111111111112
Lyon,S-NP',bus,8,8.207201999999999,0.0,8.207201999999999,54.25222222222222
Lyon,S-NP',train,26,7.310568139999999,0.0,7.310568139999999,226.57111111111112
Lyon,SA,avion,0,284.3686244564162,51.51671700000001,335.88534145641626,87.43388888888889
Lyon,SA,bus,0,3.2770230000000002,0.0,3.2770230000000002,22.515
Lyon,SA',avion,0,284.3686244564162,0.0,284.3686244564162,87.43388888888889
Lyon,SA',bus,0,3.2770230000000002,0.0,3.2770230000000002,22.515
Angers,S-4h,avion,0,221.0460655211525,44.604378,265.6504435211525,66.69777777777777
Angers,S-4h,bus,10,7.8136019999999995,0.0,7.8136019999999995,52.684444444444445
Angers,S-4h,train,4,0.429958376,4.313441999999999,4.743400375999999,22.566666666666666
Angers,S-4h',avion,0,221.0460655211525,0.0,221.0460655211525,66.69777777777777
Angers,S-4h',bus,10,7.8136019999999995,0.0,7.8136019999999995,52.684444444444445
Angers,S-4h',train,4,0.429958376,0.0,0.429958376,22.566666666666666
Angers,S-6h,avion,0,102.13580085074634,22.955016000000004,125.09081685074634,30.436666666666667
Angers,S-6h,bus,14,15.084366,0.0,15.084366,95.45222222222222
Angers,S-6h,train,12,7.449794427999999,18.692040000000002,26.141834428000003,93.4588888888889
Angers,S-6h',avion,0,102.13580085074634,0.0,102.13580085074634,30.436666666666667
Angers,S-6h',bus,14,15.084366,0.0,15.084366,95.45222222222222
Angers,S-6h',train,12,7.449794427999999,0.0,7.449794427999999,93.4588888888889
Angers,S-NP,bus,14,15.084366,0.0,15.084366,95.45222222222222
Angers,S-NP,train,20,19.270429296000003,41.647056,60.917485296,215.51444444444445
Angers,S-NP',bus,14,15.084366,0.0,15.084366,95.45222222222222
Angers,S-NP',train,20,19.270429296000003,0.0,19.270429296000003,215.51444444444445
Angers,SA,"aller en bus
retour en avion",0,0.0,0.8698229999999999,0.8698229999999999,0.0
Angers,SA,avion,0,244.7125514611752,48.332376000000004,293.0449274611752,75.57444444444444
Angers,SA,bus,0,5.372502,0.0,5.372502,37.61333333333334
Angers,SA,train,0,0.214979188,2.156721,2.371700188,11.283333333333333
Angers,SA',"aller en bus
retour en avion",0,0.0,0.0,0.0,0.0
Angers,SA',avion,0,244.7125514611752,0.0,244.7125514611752,75.57444444444444
Angers,SA',bus,0,5.372502,0.0,5.372502,37.61333333333334
Angers,SA',train,0,0.214979188,0.0,0.214979188,11.283333333333333
